Rank,State,Infidelity Rate
1,Hawaii,80.56%
2,Louisiana,62.50%
2,Rhode Island,62.50%
4,Delaware,52.94%
5,Wyoming,50.00%
5,New Hompshire,0.00%
7,Maine,46.67%
8,North Carolina,44.44%
10,Utah,41.94%
10,Nevada,41.94%
10,Illinois,41.94%
13,Tennessee,41.67%
14,Vermont,40.00%
14,Connecticut,40.00%
16,Michigan,39.39%
7,Arizona,38.89%
18,New York,37.50%
20,Kentucky,35.29%
21,Alabama,34.38%
22,West Virginia,33.33%
22,Texas,33.33%
22,Ohio,33.33%
22,Wisconsin,33.33%
22,Missouri,33.33%
27,Georgia,32.35%
28,Oklahoma,32.26%
29,Pennsylvonio,31.58%
30,New Jersey,31.43%
31,South Dakota,30.56%
32,California,29.03%
32,Indiana,29.03%
34,Arkansas,28.57%
35,Colorado,27.27%
35,Minnesota,27.27%
37,Alaska,26.47%
37,Virginia,26.47%
37,Idaho,26.47%
40,Massachusetts,28.71%
41,South Corolina,25.00%
41,lowa,25.00%
43,Kansas,24.24%
44,Marylond,23.33%
45,Montatna,17.65%
45,Washington,17.65%
47,Oregon,16.67%
48,Mississippi,10.00%
49,Florida,9.09%
50,Nebraska,6.25%